duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,class1
14993462,14993462,14967812,0,0,823486,854818,873.134288,287.914517,4612.743875,4865795.304647,0,823486,216.79384,7050.781273,-1,0,-1,0,-1,0,-1,0,BROWSING
14463281,14463281,14432214,0,0,742368,742339,1321.330258,312.290951,3952.215268,4472423.580791,0,742294,253.027081,6982.036846,-1,0,-1,0,-1,0,-1,0,BROWSING
14997099,14997042,14997087,1,0,537201,565232,1850.11621,344.855753,3440.398706,4050644.594665,0,537201,290.669619,5560.260369,-1,0,-1,0,-1,0,-1,0,BROWSING
14999980,14999919,14999956,2,0,954084,954052,1796.827863,382.837498,3168.737558,3652553.136738,0,954018,315.589733,9375.105249,-1,0,-1,0,-1,0,-1,0,BROWSING
14989090,14989090,14964771,2,0,1014690,1016593,1668.792029,394.588556,3129.542888,3539675.590713,0,1014624,319.542296,9205.461338,9578088,9578088,9578088,0,1014624,1014624,1014624,0,BROWSING
14866629,14866590,14856888,3,0,1399330,1211310,2669.525947,560.277859,2158.391119,2493866.094324,0,1208289,463.322498,15324.408383,1753114,2932407.5,3999951,976090.773365,1133281,1170766,1208289,31592.045017,BROWSING
14997616,14997616,14971193,2,0,957051,757034,2881.386359,770.123097,1643.394524,1815634.498176,0,756990,608.521302,8275.684172,-1,0,-1,0,-1,0,-1,0,BROWSING
14997816,14997768,14997765,7,0,316297,346578,7104.57982,1399.828729,855.257859,998572.725522,0,316297,1169.329175,5399.22214,-1,0,-1,0,-1,0,-1,0,BROWSING
14988801,14988733,14988767,7,0,442870,472021,7901.282551,1411.238772,835.290294,989801.786013,0,442870,1197.284208,8244.026343,-1,0,-1,0,-1,0,-1,0,BROWSING
14992813,14992763,14992771,7,0,2894671,2923147,8950.903284,1658.859372,714.675758,842177.982211,0,2894671,1399.36653,28901.017881,14702325,14700000,14702325,0,2894671,2894671,2894671,0,BROWSING
14813266,14813215,14813251,7,0,498964,595031,8284.795861,1912.127404,643.814808,731775.288448,0,498964,1553.404572,13362.870493,-1,0,-1,0,-1,0,-1,0,BROWSING
113687509,113687476,12114959,7,0,101572528,405550,67072.257227,1589.263938,81.979103,93774.769927,0,101572528,12199.539543,1052198.865925,113687509,114000000,113687509,0,101572528,102000000,101572528,0,BROWSING
14990489,14990460,14958265,3,0,413646,441582,7182.779109,1964.831867,647.210375,711479.992414,0,413646,1545.251933,9850.496176,-1,0,-1,0,-1,0,-1,0,BROWSING
14987752,14987752,14960035,8,0,454051,479190,9263.134734,1981.986619,611.699473,704063.824915,0,454051,1634.968038,13272.573589,-1,0,-1,0,-1,0,-1,0,BROWSING
14998245,14998200,14998224,7,0,522424,549252,9732.770928,2265.592749,544.263679,617448.241444,0,522424,1837.569836,15758.135923,-1,0,-1,0,-1,0,-1,0,BROWSING
14994863,14994804,14994831,7,0,533375,533376,8815.287478,2307.252039,546.987325,607123.652947,0,533341,1828.418851,11567.754021,-1,0,-1,0,-1,0,-1,0,BROWSING
14998115,14998076,14998105,7,0,530197,557878,9841.257218,2327.813907,531.333438,600817.769433,0,530197,1882.293549,15267.631193,-1,0,-1,0,-1,0,-1,0,BROWSING
993347,993347,971309,3,4,28622,28338,506.293068,456.013615,4121.419806,9046567.815678,1,28324,242.694112,1869.128562,-1,0,-1,0,-1,0,-1,0,BROWSING
14997953,14997908,14997942,8,0,655625,692620,10343.384828,2379.115165,517.137239,587915.497535,0,655625,1933.972018,17796.850875,-1,0,-1,0,-1,0,-1,0,BROWSING
2848154,2842456,2824548,5,0,276401,276417,823.90029,451.855383,3406.768033,3116723.323247,0,276350,293.563595,4089.822648,-1,0,-1,0,-1,0,-1,0,BROWSING
14982790,14782752,14982770,7,0,664286,693185,10166.954608,2411.131316,511.920677,580138.812598,0,664286,1953.682358,16797.710853,-1,0,-1,0,-1,0,-1,0,BROWSING
14980777,14980723,14951623,11,0,908287,708568,8369.118994,2474.205362,523.00358,565477.878751,0,708552,1912.27687,15476.726014,-1,0,-1,0,-1,0,-1,0,BROWSING
13769034,13769001,13767665,7,0,819852,819602,10313.858427,2289.649925,533.806511,610699.341726,0,819581,1873.59287,20277.83212,-1,0,-1,0,-1,0,-1,0,BROWSING
14794840,14794810,14794807,10,0,591031,681691,8532.185698,2596.94699,502.404893,539856.733834,0,591031,1990.694295,15949.577686,-1,0,-1,0,-1,0,-1,0,BROWSING
14996650,14996605,14996626,7,0,621756,653064,12581.044463,2677.490805,453.101193,522157.415156,0,621756,2207.337356,16614.258487,-1,0,-1,0,-1,0,-1,0,BROWSING
14401864,14401412,14379655,6,0,3374489,3399087,11586.011263,2680.77088,458.898931,520992.97702,0,3374489,2179.458838,43961.755182,14129077,14100000,14129077,0,3374489,3374489,3374489,0,BROWSING
14992388,14992388,14963530,6,0,715257,744430,13458.157989,2800.585813,430.818626,498191.348836,0,715257,2321.521833,20693.83774,-1,0,-1,0,-1,0,-1,0,BROWSING
14982113,14982043,14982086,7,0,681353,712869,13923.831784,2823.080083,426.174866,495061.611136,0,681353,2346.822212,21515.323493,-1,0,-1,0,-1,0,-1,0,BROWSING
14990294,14990214,14990277,7,0,609813,639028,12900.356282,2829.421857,431.078937,494301.779538,0,609813,2320.119796,18730.012223,-1,0,-1,0,-1,0,-1,0,BROWSING
5783951,5783728,5761016,5,0,274062,274048,4027.665738,1091.928734,1160.798216,1278356.265466,0,274038,861.604499,6416.809427,-1,0,-1,0,-1,0,-1,0,BROWSING
14980802,14980746,14980768,7,0,1799762,1825881,14995.741742,3002.759671,399.845082,465307.131087,0,1799762,2501.386208,29616.676771,1906851,1906851,1906851,0,1799762,1799762,1799762,0,BROWSING
14979822,14979760,14979773,4,0,668229,694389,16264.668838,3094.355092,384.784278,451676.728869,0,668229,2599.309735,19906.785004,-1,0,-1,0,-1,0,-1,0,BROWSING
14990884,14990858,14819167,4,4,338708,254779,6341.310491,3805.641243,417.587115,448301.581148,0,225964,2395.092507,11050.857364,-1,0,-1,0,-1,0,-1,0,BROWSING
14931183,14931183,14898766,7,0,719610,757561,14247.312023,3455.988402,359.047237,403872.28527,0,719610,2785.66847,27858.540809,-1,0,-1,0,-1,0,-1,0,BROWSING
14982349,14982329,14982320,7,0,773597,826405,12485.274167,3485.070947,367.165389,401890.184243,0,773597,2724.063455,23766.999428,-1,0,-1,0,-1,0,-1,0,BROWSING
14590803,14590756,14590750,7,0,685575,711028,14360.980315,3717.388535,338.775049,375756.289767,0,685575,2952.408539,17376.867305,-1,0,-1,0,-1,0,-1,0,BROWSING
14980429,14980333,14980418,7,0,777586,811180,14529.905917,3912.357796,324.556793,357899.162968,0,777586,3081.758692,27621.910013,-1,0,-1,0,-1,0,-1,0,BROWSING
1037140,1029427,1015379,5,0,50972,50970,722.404912,298.027297,4660.894383,4637725.861504,0,50943,214.595489,1762.201003,-1,0,-1,0,-1,0,-1,0,BROWSING
14995708,14995708,14943476,7,0,708717,838961,20655.245179,4395.14,275.278766,316873.934862,0,708717,3633.561425,29350.969495,-1,0,-1,0,-1,0,-1,0,BROWSING
877333,877308,852559,5,0,112811,112797,497.058357,261.200674,5734.424671,5275495.165462,0,112770,174.42008,2022.359043,-1,0,-1,0,-1,0,-1,0,BROWSING
14991520,14991520,14968852,5,0,7140191,7364626,20735.159059,4673.384952,262.014792,298292.234543,0,7140191,3817.550293,117383.543608,3440026,5681338,7922650,3169693.827909,1015521,4077856,7140191,4330795.68953,BROWSING
14693425,14693385,14693318,7,0,701114,915937,17471.325803,4604.612347,274.544567,303001.716754,0,701114,3643.299033,32805.992294,-1,0,-1,0,-1,0,-1,0,BROWSING
1047108,1047082,1022958,6,0,25107,24285,1392.396277,325.99044,3716.904082,4197339.720449,0,24271,269.110254,1372.431146,-1,0,-1,0,-1,0,-1,0,BROWSING
14981237,14981237,14952762,7,0,968651,719621,21586.79683,4839.081553,252.716114,288480.851081,0,719594,3958.05469,30259.94069,-1,0,-1,0,-1,0,-1,0,BROWSING
14671855,14671855,14641849,7,0,912990,763259,18714.100765,4780.231472,262.339016,291952.244621,0,735154,3812.852131,36053.853725,-1,0,-1,0,-1,0,-1,0,BROWSING
14819365,14819365,14790022,7,0,724527,1046523,24254.279869,4882.806867,245.759518,285560.751085,0,724527,4070.135952,34745.661204,-1,0,-1,0,-1,0,-1,0,BROWSING
14278368,14278278,14278344,7,0,782233,811024,18028.128788,4716.995045,267.607615,296446.204496,0,782233,3737.79267,30030.743317,-1,0,-1,0,-1,0,-1,0,BROWSING
884206,883881,860422,4,0,76932,77009,1014.788749,290.781345,4333.831709,4692979.916445,0,76900,230.802924,1705.938993,-1,0,-1,0,-1,0,-1,0,BROWSING
14920745,14628360,14896050,7,0,722451,751455,17774.434994,5217.530648,246.636478,267727.650328,0,722451,4055.652351,35174.79251,-1,0,-1,0,-1,0,-1,0,BROWSING
14950363,14950292,14950336,7,0,775850,1087176,26413.943463,5518.765596,219.192002,253248.165279,0,775850,4563.602869,30104.896309,-1,0,-1,0,-1,0,-1,0,BROWSING
14604306,14604306,14576397,7,0,775948,807935,25354.697917,5438.954104,223.08489,256536.668021,0,775948,4483.974823,40079.054257,-1,0,-1,0,-1,0,-1,0,BROWSING
14698923,14698923,14674878,7,0,795451,820398,23443.258373,5972.681319,209.947355,232235.722304,0,795451,4764.642788,44825.276602,-1,0,-1,0,-1,0,-1,0,BROWSING
12156024,12156024,12112645,5,5,2369451,2542432,9579.21513,6179.920918,265.794145,293416.745475,1,2369451,3763.474923,55900.216951,2548643,3994996.666667,6340782,2049832.320235,1044783,1698411.666667,2369451,662505.604535,BROWSING
14692376,14692376,14660687,7,0,792977,819755,20044.169168,6212.155508,210.653471,224247.800356,0,792977,4748.667098,39360.40845,-1,0,-1,0,-1,0,-1,0,BROWSING
14918672,14918672,14787413,4,2,4969835,4965514,12278.742387,7442.08002,214.764424,227363.40071,0,4836057,4657.718389,95153.315179,3282438,7459296,11636154,5906969.231706,2130518,3483287.5,4836057,1913104.973664,BROWSING
14982276,14982196,14153263,7,0,845554,876038,29434.569745,6232.172171,185.686073,211880.691558,0,845554,5387.370011,42773.413925,-1,0,-1,0,-1,0,-1,0,BROWSING
14574787,14574706,14574761,7,0,850675,879043,32974.447964,6483.434609,184.702528,215298.926839,0,850675,5416.123003,50607.827708,-1,0,-1,0,-1,0,-1,0,BROWSING
9718316,9718316,9696966,10,0,667896,700794,13204.233696,4491.41547,298.096913,311443.566972,0,667896,3355.772099,27687.215847,-1,0,-1,0,-1,0,-1,0,BROWSING
14978611,14978611,14952730,8,0,754397,781097,23079.523883,6948.29461,187.133507,199966.872763,0,754397,5345.685582,33761.71501,-1,0,-1,0,-1,0,-1,0,BROWSING
14404438,14404438,14368465,7,0,837920,866900,24087.688963,6752.098214,189.386077,206816.121531,0,837920,5282.155482,45911.272258,-1,0,-1,0,-1,0,-1,0,BROWSING
5613555,5613498,5611718,8,0,534960,562095,12310.302632,2927.343766,423.083055,477851.735665,0,534960,2364.597725,19981.511246,-1,0,-1,0,-1,0,-1,0,BROWSING
411092,411076,389355,1,0,27752,24629,825.453815,231.071217,5315.111946,5743174.277291,0,24629,188.228938,1221.175777,-1,0,-1,0,-1,0,-1,0,BROWSING
12862339,12729329,12862339,6,3,2988391,2817282,14159.431591,9148.178521,179.360846,191673.924937,2,2817282,5577.770598,66641.807709,3298448,3298448,3298448,0,2817282,2817282,2817282,0,BROWSING
14973944,14973871,14970900,9,7,618641,480002,15516.964767,10951.64594,155.870758,172031.162932,2,480002,6418.321474,19881.675982,-1,0,-1,0,-1,0,-1,0,BROWSING
14925836,14925788,14925768,7,0,871292,899044,45925.501538,9311.1466,129.30599,149759.45066,0,871292,7737.602903,65401.859124,-1,0,-1,0,-1,0,-1,0,BROWSING
14990171,14952164,14990171,6,3,1522390,1631207,17245.863899,11161.705882,147.56336,154409.57945,0,1522390,6779.815016,46240.625463,10763250,10800000,10763250,0,1522390,1522390,1522390,0,BROWSING
14910300,14910300,14908446,7,6,588260,624874,17020.890411,11610.939252,145.000436,151884.200854,1,588183,6899.722351,23675.857816,-1,0,-1,0,-1,0,-1,0,BROWSING
646234,644260,623687,21,0,30150,29985,2078.258065,471.77534,2528.49587,2859959.395513,0,25812,395.734231,2043.705015,-1,0,-1,0,-1,0,-1,0,BROWSING
648504,647697,622223,10,0,41943,30549,1882.840116,491.099448,2487.262993,2732149.686047,0,30534,402.297767,2298.945531,-1,0,-1,0,-1,0,-1,0,BROWSING
424284,424264,391864,4,0,37181,30386,1107.738903,311.003175,3877.120042,4160284.149296,0,32420,258.080292,1830.869642,-1,0,-1,0,-1,0,-1,0,BROWSING
14973002,14959347,14973002,5,4,6735172,6734903,23085.412037,14665.036239,111.600867,120324.568179,0,6603093,8965.869461,165623.170909,2650978,5814549,8978120,4473965.01373,1125937,3864515,6603093,3872934.149216,BROWSING
14890911,14890911,14757278,7,6,323781,250934,21181.950213,14383.311891,116.245406,122629.972068,2,212946,8607.463006,20751.132119,-1,0,-1,0,-1,0,-1,0,BROWSING
567691,566145,542475,7,0,32330,28618,1513.756684,464.845758,2718.027941,2884430.086086,0,28608,368.152399,1958.794165,-1,0,-1,0,-1,0,-1,0,BROWSING
312595,312562,289605,6,0,28524,24499,816.088773,251.393229,4916.905261,5169769.190166,0,23988,203.51237,1568.799638,-1,0,-1,0,-1,0,-1,0,BROWSING
13060395,13060376,13033612,7,0,12273322,12500948,41593.55414,11412.970228,111.635215,122282.059616,0,12273322,8963.89499,321574.364653,12535185,12500000,12535185,0,12273322,12300000,12273322,0,BROWSING
971584,905980,946319,3,0,72913,65575,2941.493506,828.650613,1494.466768,1519701.847704,0,65575,669.596141,3762.528131,-1,0,-1,0,-1,0,-1,0,BROWSING
620749,592410,591719,6,0,105171,106879,1159.315068,605.648925,2400.326058,2231728.121995,0,79249,416.889859,3365.36986,-1,0,-1,0,-1,0,-1,0,BROWSING
14994868,14994868,14861554,12,5,1700215,1697960,24263.540453,17755.739546,97.166577,100534.529547,2,1567223,10298.673077,58408.756191,11563634,11600000,11563634,0,1567223,1567223,1567223,0,BROWSING
683906,681047,659949,6,0,271009,270992,2467.561594,693.952681,1797.030586,1948994.452454,0,270983,556.92671,7947.640029,-1,0,-1,0,-1,0,-1,0,BROWSING
14953391,14953391,14822882,3,2,1918690,1880857,26466.178761,17945.377724,93.156128,98358.893979,2,1751316,10742.378592,53989.606501,8203589,8203589,8203589,0,1751316,1751316,1751316,0,BROWSING
406509,406182,383375,26,0,31915,23137,1889.218605,414.459459,2809.285895,3176357.719017,0,23134,356.274321,1738.42217,-1,0,-1,0,-1,0,-1,0,BROWSING
374210,374157,351550,6,0,25774,24537,799.480769,391.917503,3653.029048,3387600.545148,0,24290,273.945827,2015.95506,-1,0,-1,0,-1,0,-1,0,BROWSING
14977955,14940990,14889519,2,2,4460782,4460813,27214.918033,18427.622525,90.733348,93250.313544,2,4460735,11029.421944,125595.660029,14353859,14400000,14353859,0,4460735,4460735,4460735,0,BROWSING
2976854,2975551,2950055,6,0,2484510,2509831,6023.382591,3322.134009,464.920349,421553.761118,0,2484510,2152.461316,66958.217217,2769484,2769484,2769484,0,2484510,2484510,2484510,0,BROWSING
650734,650712,628572,6,0,220012,244014,1908.246334,715.098976,1877.879441,1900621.452083,0,218033,532.951679,6656.051162,-1,0,-1,0,-1,0,-1,0,BROWSING
4637216,4636982,4614213,9,0,2168310,2393420,36801.444444,5285.467354,215.862276,261614.511811,0,2168310,4637.216,92059.849996,2216912,2305450.5,2393989,125212.347488,1933910,2051110,2168310,165745.829507,BROWSING
14733681,14733681,14602718,4,2,1699576,1695014,27386.024164,19894.711172,86.468548,95162.437683,1,1565225,11573.983504,52966.305262,2716695,2716695,2716695,0,1565225,1565225,1565225,0,BROWSING
329142,328755,302253,6,0,31163,26806,1204.230769,350.641531,3454.436079,3667082.900389,0,26889,289.737676,1984.692725,-1,0,-1,0,-1,0,-1,0,BROWSING
172970,172970,151366,4,5,26745,22459,622.194245,527.407666,3278.025091,6940041.625715,2,22255,305.600707,2232.864432,-1,0,-1,0,-1,0,-1,0,BROWSING
359873,359825,333766,1,0,34446,29873,1266.989437,395.926453,3137.217852,3292967.241221,0,29510,319.036348,1940.695135,-1,0,-1,0,-1,0,-1,0,BROWSING
1333367,1321799,1308625,6,0,693293,923065,4895.551852,1559.743743,833.228961,882048.978263,0,693293,1201.231532,21758.820122,-1,0,-1,0,-1,0,-1,0,BROWSING
465675,464131,443031,26,0,27300,47004,2550.17033,533.772289,2177.484297,2490440.758039,0,23841,459.698914,2267.006249,-1,0,-1,0,-1,0,-1,0,BROWSING
15246577,15246577,5220466,3,3,10000812,3692990,67165.537445,20881.864,31.416888,74715.787026,0,10000812,31896.604603,487194.606895,3921743,7623288.5,11324834,5234775.847841,3665072,6832942,10000812,4480044.717835,BROWSING
2726845,2725185,2696618,21,0,2055080,2279736,11848.630435,3417.766793,374.425389,404494.204841,0,2055080,2673.377451,64677.398358,2318307,2318307,2318307,0,2055080,2055080,2055080,0,BROWSING
310445,310445,261958,16,3,33829,35209,1338.125,687.553806,1981.027235,3516539.161526,2,28287,505.610749,2791.352746,-1,0,-1,0,-1,0,-1,0,BROWSING
14970146,14970146,14841128,11,19,393762,352152,28460.353612,20001.520216,84.835512,80915.977707,0,219407,11796.805359,29029.174136,-1,0,-1,0,-1,0,-1,0,BROWSING
10719439,10520723,10589383,4,1,1926304,1933405,24185.570115,15236.522302,105.602541,105665.51104,1,1803075,9477.841733,60824.009224,3092223,3092223,3092223,0,1803075,1803075,1803075,0,BROWSING
343769,341792,314027,25,0,38917,30003,1505.69163,437.36351,2754.756828,2921319.25799,0,29859,363.392178,1859.586807,-1,0,-1,0,-1,0,-1,0,BROWSING
1771216,1706475,1746139,11,8,522437,522689,4753.412256,2508.820402,596.76516,530296.135536,4,497339,1677.287879,19339.919338,-1,0,-1,0,-1,0,-1,0,BROWSING
379732,355617,356226,6,0,33361,33325,830.880841,552.288372,2830.943929,2420873.142111,0,33306,353.56797,2681.518382,-1,0,-1,0,-1,0,-1,0,BROWSING
