duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,class1
2218398,2191528,2192676,9,17,60217,86113,601.077345,370.00945,4315.726934,3789735.656091,0,60217,231.734879,1815.741336,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
3517813,3517813,3304404,6,7,324059,217426,1413.911977,998.912938,1648.183118,1322206.439057,1,217299,606.833362,8971.721519,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
13567657,13394098,13437531,0,0,3906748,3908013,10604.98654,5204.310999,283.541956,257925.299851,-9,3777807,3527.731929,65256.442153,5816127,5816127,5816127,0,3777807,3777807,3777807,0,VPN-BROWSING
14697122,14567358,14567724,4,14,2447126,2406746,15799.737527,6497.646744,215.416324,198402.925416,4,2275153,4643.640442,51735.382672,5068736,5435233.5,5801731,518305.735075,1141447,1708300,2275153,801651.200471,VPN-BROWSING
270207,203681,244006,15,10,27147,66572,593.822157,363.104167,3763.781101,3479554.563723,3,66526,265.951772,2648.293598,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
386584,319144,360487,23,10,37637,44652,1039.557003,527.799414,2566.065849,2427443.97078,0,44652,390.094854,2772.242135,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
8208684,8078782,8078453,8,19,4969763,4934103,24934.512346,13071.930421,115.000163,100821.27659,8,4800946,8704.861082,161152.892818,1498361,3950167.5,6401974,3467378.004614,1115996,2958471,4800946,2605653.133333,VPN-BROWSING
728064,554359,594637,46,23,134823,174413,2060.814126,1039.575175,1157.865243,1083473.430907,8,173705,864.684086,8378.953464,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
10897973,10897973,10758647,13,10,7696125,7839899,23899.063596,18841.763573,94.421229,73078.268775,2,7696125,10601.141051,241447.123629,10738389,10700000,10738389,0,7696125,7696125,7696125,0,VPN-BROWSING
1314540,1314535,1183635,7,17,132666,131525,4095.124611,2320.852941,633.681744,547879.866721,1,131289,1579.975962,11183.814208,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
1605561,1580328,1578284,8,11,1387450,1387997,6246.355731,2901.257353,497.645371,434808.144941,3,1361674,2011.981203,48241.056185,1415482,1415482,1415482,0,1361674,1361674,1361674,0,VPN-BROWSING
10552074,10526819,10526710,10,9,4689991,4689428,36050.75,19749.924953,78.373218,63003.822756,3,4663952,12774.90799,194617.096807,4083099,4577457.5,5071816,699128.495374,2943883,3803917.5,4663952,1216272.454008,VPN-BROWSING
6613711,6548606,6588175,11,11,6146080,6106525,34107.322917,17429.034392,86.486996,76861.084496,1,6080986,11582.681261,254538.050088,6385743,6385743,6385743,0,6080986,6080986,6080986,0,VPN-BROWSING
1301009,1301009,1060668,2,17,231368,202758,13552.177083,6095.793103,209.0685,186231.609466,1,201387,4800.771218,29291.476424,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
13984772,13919756,13959212,2,14,5379801,5339900,99426.828571,58652.151261,27.172413,17973.264062,2,5314406,36899.134565,372352.529719,5441654,6771591.5,8101529,1880815.649608,4819591,5066998.5,5314406,349887.041931,VPN-BROWSING
6496273,6431093,6470928,28,18,5323248,5284388,71456.588889,38748.071856,39.869014,33091.589593,7,5258623,25179.352713,331050.542898,6404373,6404373,6404373,0,5258623,5258623,5258623,0,VPN-BROWSING
